,inst,alg_config,time,HV,SC,eps
63,GKD-b_41_n150_b02_m15_k02,M4,7.466,0.9785,0.027,1.0608
64,GKD-b_11_n50_b03_m5_k03,SL-MOBG,15.7789,0.9946,0.6061,1.0168
65,MDG-b_01_n500_b03_m50_k03,SL-MOBG,300.749,0.9611,0.3678,1.0723
66,MDG-b_01_n500_b03_m50_k02,SL-MOBG,300.439,1.0,1.0,1.0
67,GKD-c_01_n500_b02_m50_k02,SL-MOBG,301.838,0.9942,0.3043,1.027
68,GKD-c_01_n500_b02_m50_k03,SL-MOBG,307.725,0.9919,0.125,1.0397
69,GKD-b_11_n50_b03_m5_k02,SL-MOBG,14.1583,0.9994,0.8333,1.0152
70,GKD-b_41_n150_b02_m15_k03,SL-MOBG,125.3935,0.9971,0.3814,1.0129
71,GKD-b_11_n50_b02_m5_k02,SL-MOBG,11.005,0.9978,0.7442,1.0145
72,GKD-b_41_n150_b03_m15_k02,SL-MOBG,168.9265,0.9987,0.8636,1.0286
73,MDG-b_01_n500_b02_m50_k02,SL-MOBG,300.418,0.9355,0.2796,1.1406
74,GKD-b_11_n50_b02_m5_k03,SL-MOBG,12.3666,0.998,0.5319,1.0146
75,MDG-b_01_n500_b02_m50_k03,SL-MOBG,301.243,0.9678,0.3,1.0701
76,GKD-b_41_n150_b03_m15_k03,SL-MOBG,25.354,0.9978,0.3115,1.0176
77,GKD-c_01_n500_b03_m50_k02,SL-MOBG,300.349,0.9999,0.8889,1.0021
78,GKD-c_01_n500_b03_m50_k03,SL-MOBG,302.208,0.9947,0.5,1.0172
79,GKD-b_41_n150_b02_m15_k02,SL-MOBG,130.5784,0.9971,0.4189,1.017
